the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
rigorous  #6702  adj. 严格的，严厉的；严密的；严酷的
mule  #6703  n. 骡；倔强之人，顽固的人；杂交种动物 n. (Mule)人名；(意)穆莱；(英)米尔
supplement  #6704  vt. 增补，补充 n. 增补，补充；补充物；增刊，副刊
rival  #6705  n. 对手；竞争者 vt. 与…竞争；比得上某人 vi. 竞争 adj. 竞争的 n. (Rival)人名；(英、法、西)里瓦尔
delighted  #6706  adj. 高兴的；欣喜的 v. 使…兴高采烈；感到快乐（delight的过去分词）
oval  #6707  adj. 椭圆的；卵形的 n. 椭圆形；卵形 n. (Oval)人名；(法)奥瓦尔
hurdle  #6708  n. 障碍；栏；跳栏 vt. 克服 vi. 克服；跳过 n. (Hurdle)人名；(英)赫德尔
sturdy  #6709  adj. 坚定的；强健的；健全的 n. 羊晕倒病 n. (Sturdy)人名；(英)斯特迪
canoe  #6710  n. 独木舟；轻舟 vi. 乘独木舟 vt. 用独木舟运
turf  #6711  n. 草皮；泥炭；跑马场 vt. 覆草皮于；驱逐；强制赶走
parsley  #6712  n. 荷兰芹，欧芹 n. (Parsley)人名；(英)帕斯利
broaden  #6713  vi. 扩大，变阔；变宽，加宽 vt. 使扩大；使变宽
workforce  #6714  n. 劳动力；工人总数，职工总数
voyage  #6715  n. 航行；航程；旅行记 vi. 航行；航海 vt. 飞过；渡过
drift  #6716  n. 漂流，漂移；趋势；漂流物 vi. 漂流，漂移；漂泊 vt. 使…漂流；使…受风吹积
definitive  #6717  n. 限定词 adj. 决定性的；最后的；限定的
propel  #6718  vt. 推进；驱使；激励；驱策
discharge  #6719  vt. 解雇；卸下；放出；免除 vi. 排放；卸货；流出 n. 排放；卸货；解雇
distort  #6720  vt. 扭曲；使失真；曲解 vi. 扭曲；变形
scoop  #6721  vt. 掘；舀取；抢先获得；搜集 n. 勺；铲子；独家新闻；凹处
overweight  #6722  adj. 超重的；过重的 vt. 使负担过重 n. 超重
replicate  #6723  vt. 复制；折叠 vi. 重复；折转 adj. 复制的；折叠的 n. 复制品；八音阶间隔的反覆音
swift  #6724  n. 褐雨燕 adj. 快的；迅速的；敏捷的；立刻的 adv. 迅速地 n. (Swift)人名；(英)斯威夫特 n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序
tab  #6725  n. 标签；制表；帐单 vt. 给…贴标签
kind  #6726  n. 种类；性质 adj. 和蔼的；宽容的；令人感激的 n. (Kind)人名；(德、俄、法、捷)金德；(瑞典)欣德
linebacker  #6727  n. （橄榄球的）中后卫球员
undo  #6728  vt. 取消；解开；破坏；扰乱 vi. 撤消
advancement  #6729  n. 前进，进步；提升
radical  #6730  adj. 激进的；根本的；彻底的 n. 基础；激进分子；[物化] 原子团；[数] 根数
split  #6731  vt. 分离；使分离；劈开；离开；分解 vi. 离开；被劈开；断绝关系 n. 劈开；裂缝 adj. 劈开的
basics  #6732  n. 基础；基本要素（basic的复数） n. (Basics)人名；(匈)鲍希奇
goddess  #6733  n. 女神，受崇拜的女性
stalk  #6734  n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步 vt. 追踪，潜近；高视阔步 vi. 高视阔步地走；潜近，偷偷接近
intimidate  #6735  vt. 恐吓，威胁；胁迫
grandson  #6736  n. 孙子；外孙
verge  #6737  vi. 濒临，接近；处在边缘 n. 边缘 n. (Verge)人名；(英)弗奇；(西)贝尔赫
plague  #6738  n. 瘟疫；灾祸；麻烦；讨厌的人 vt. 折磨；使苦恼；使得灾祸
bipartisan  #6739  adj. 两党连立的；代表两党的
sergeant  #6740  n. 军士；警察小队长；海军陆战队中士；高等律师 n. (Sergeant)人名；(英)萨金特；(法)塞尔让
passing  #6741  adj. 经过的；目前的；及格的；短暂的 n. 经过；及格；流逝；去世 adv. 非常 v. 通过；及格；许可；传送（pass的ing形式） n. (Passing)人名；(德)帕辛
batch  #6742  n. 一批；一炉；一次所制之量 vt. 分批处理 n. (Batch)人名；(英)巴奇
lace  #6743  n. 花边；鞋带；饰带；少量烈酒 vt. 饰以花边；结带子 vi. 系带子 n. (Lace)人名；(意)拉切
deter  #6744  vt. 制止，阻止；使打消念头 n. (Deter)人名；(德)德特尔
privatization  #6745  n. 私有化
lord  #6746  n. 主；上帝 int. 主，天啊 vt. 使成贵族 vi. 作威作福，称王称霸 n. (Lord)人名；(瑞典)洛德；(法)洛尔
expire  #6747  vi. 期满；终止；死亡；呼气 vt. 呼出（空气）
adjacent  #6748  adj. 邻近的，毗连的
messy  #6749  adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
smoker  #6750  n. 吸烟者；薰制工 n. (Smoker)人名；(英)斯莫克尔
catastrophe  #6751  n. 大灾难；大祸；惨败
withhold  #6752  vt. 保留，不给；隐瞒；抑制 vi. 忍住；克制
unpredictable  #6753  adj. 不可预知的；不定的；出乎意料的 n. 不可预言的事
ivory  #6754  n. 象牙；乳白色；长牙 adj. 乳白色的；象牙制的 n. (Ivory)人名；(英)艾沃里
embryo  #6755  n. [胚] 胚胎；胚芽；初期 adj. 胚胎的；初期的
coincide  #6756  vi. 一致，符合；同时发生 vi. (在性格、品质等方面)完全一致，相符
transcend  #6757  vt. 胜过，超越
violin  #6758  n. 小提琴；小提琴手 n. (Violin)人名；(意)维奥林
lucrative  #6759  adj. 有利可图的，赚钱的；合算的
diagnostic  #6760  adj. 诊断的；特征的 n. 诊断法；诊断结论
decorative  #6761  adj. 装饰性的；装潢用的
resistant  #6762  adj. 抵抗的，反抗的；顽固的 n. 抵抗者
escort  #6763  n. 陪同；护航舰；护卫队；护送者 vt. 护送；陪同；为…护航
service  #6764  n. 服务，服侍；服役；仪式 adj. 服务性的；耐用的；服现役的 vt. 维修，检修；保养 n. (Service)人名；(英)瑟维斯
rag  #6765  n. 破布；碎屑 vt. 戏弄；责骂 vi. 变破碎；穿着讲究
promptly  #6766  adv. 迅速地；立即地；敏捷地
reopen  #6767  vt. 使再开，使重开 vi. 重开
expanded  #6768  adj. 扩充的；展开的 vt. 扩大（expand的过去式）
stall  #6769  n. 货摊；畜栏；托辞 vi. 停止，停转；拖延 vt. 拖延；使停转；使陷于泥中 n. (Stall)人名；(瑞典)斯塔尔
eye  #6770  n. 眼睛；视力；眼光；见解，观点 vt. 注视，看 n. (Eye)人名；(德)艾厄；(英)艾
cheer  #6771  vt. 欢呼；使高兴；为…加油 n. 欢呼；愉快；心情；令人愉快的事 vi. 欢呼；感到高兴
detention  #6772  n. 拘留；延迟；挽留
dedicated  #6773  adj. 专用的；专注的；献身的 v. 以…奉献；把…用于（dedicate的过去式和过去分词）
talking  #6774  adj. 说话的，多嘴的；有表情的 n. 讲话，谈论 v. 谈论；讲话（talk的ing形式） n. (Talking)人名；(英)托金
liar  #6775  n. 说谎的人
stream  #6776  n. 溪流；流动；潮流；光线；（数据）流 vi. 流；涌进；飘扬 vt. 流出；涌出；使飘动
homosexuality  #6777  n. 同性恋
southeastern  #6778  adj. 东南方的；朝东南的
pact  #6779  n. 协定；公约；条约；契约
elicit  #6780  vt. 抽出，引出；引起
vest  #6781  n. 背心；汗衫 vt. 授予；使穿衣 vi. 归属；穿衣服 n. (Vest)人名；(英)维斯特；(匈)韦什特
fascination  #6782  n. 魅力；魔力；入迷
inquire  #6783  vt. 询问；查究；问明 vi. 询问；查究；询价
bust  #6784  vi. 破产；爆裂；降低级别 vt. 使破产；使爆裂；逮捕 n. 破产；半身像；萧条；胸部 adj. 破产了的；毁坏了的 n. (Bust)人名；(德)布斯特
contender  #6785  n. 竞争者；争夺者
signify  #6786  vt. 表示；意味；预示 vi. 有重要性；要紧；冒充内行
bolster  #6787  n. 支持；长枕 vt. 支持；支撑 n. (Bolster)人名；(英)博尔斯特
oblige  #6788  vt. 迫使；强制；赐，施恩惠；责成；义务 vi. 帮忙；施恩惠
hull  #6789  n. 船体；（果实的）外壳 vt. [粮食] 去壳 n. (Hull)人名；(英)赫尔；(法)于尔
parole  #6790  n. 语言；誓言，诺言；释放宣言 vt. 有条件释放，假释；使假释出狱；宣誓后释放
deposit  #6791  n. 存款；押金；订金；保证金；沉淀物 vt. 使沉积；存放 vi. 沉淀
splash  #6792  vt. 溅，泼；用...使液体飞溅 n. 飞溅的水；污点；卖弄 vi. 溅湿；溅开
prestige  #6793  n. 威望，声望；声誉 n. (Prestige)人名；(英)普雷斯蒂奇 adj. 令人敬仰的；受尊重的；贵重的
elevation  #6794  n. 高地；海拔；提高；崇高；正面图
backdrop  #6795  n. 背景；背景幕；交流声
loved  #6796  v. 热爱（love的过去分词） adj. 恋爱的；受珍爱的
happening  #6797  n. 事件；意外发生的事 v. 发生；碰巧（happen的ing形式）
vibrant  #6798  adj. 振动的；充满生气的；响亮的；战栗的 n. (Vibrant)人名；(德)维布兰特
modeling  #6799  n. [自] 建模，造型；立体感 adj. 制造模型的
poetic  #6800  adj. 诗的，诗歌的；诗意的；诗人的 n. 诗学，诗论
interrogation  #6801  n. 讯问；审问；[语] 疑问句
sensibility  #6802  n. 情感；敏感性；感觉；识别力
linguistic  #6803  adj. 语言的；语言学的
reformer  #6804  n. 改革家；改革运动者；改良者
sticker  #6805  n. 尖刀；难题；张贴物；坚持不懈的人 vt. 给…贴上标签价 adj. 汽车价目标签的；汽车标签价的 n. (Sticker)人名；(德)施蒂克
shooter  #6806  n. 射手；枪炮
scoring  #6807  n. 得分；刻痕；总谱 adj. 得分的 v. 得分（score的ing形式）；刻痕；记下
geographical  #6808  adj. 地理的；地理学的
beam  #6809  n. 横梁；光线；电波；船宽；[计量] 秤杆 vt. 发送；以梁支撑；用…照射；流露 vi. 照射；堆满笑容 n. (Beam)人名；(阿拉伯)贝亚姆；(英)比姆
power  #6810  n. 力量，能力；电力，功率，性能；政权，势力；[数] 幂 vt. 激励；供以动力；使…有力量 vi. 快速前进 adj. 借影响有权势人物以操纵权力的 n. (Power)人名；(英、葡)鲍尔
stain  #6811  vt. 玷污；败坏；给…着色 vi. 污染；被玷污；被染污 n. 污点；瑕疵；着色剂
publishing  #6812  n. 出版；出版业 adj. 出版的；出版业的 v. 出版；发行（publish的现在分词形式）；发表
unveil  #6813  vt. 使公之于众，揭开；揭幕 vi. 除去面纱；显露
imminent  #6814  adj. 即将来临的；迫近的
flawed  #6815  adj. 有缺陷的；有瑕疵的；有裂纹的
air  #6816  n. 空气，大气；天空；样子；曲调 vt. 使通风，晾干；夸耀 vi. 通风
backwards  #6817  adv. 倒；向后；逆
clap  #6818  vi. 鼓掌，拍手；啪地关上 vt. 拍手，鼓掌；轻轻拍打某人 n. 鼓掌；拍手声 n. (Clap)人名；(西、英)克拉普
alpha  #6819  n. 希腊字母的第一个字母；开端；最初
foil  #6820  vt. 衬托；阻止，挡开；挫败；贴箔于 n. 箔，金属薄片；衬托，烘托；叶形片 abbr. 面向文件的翻译语言（file-Oriented interpretive language） n. (Foil)人名；(英)福伊尔
uncommon  #6821  adj. 不寻常的；罕有的 adv. 非常地
bearing  #6822  n. [机] 轴承；关系；方位；举止 v. 忍受（bear的ing形式）
rude  #6823  adj. 粗鲁的；无礼的；狂暴的；未开化的 n. (Rude)人名；(英、西、瑞典)鲁德；(法)吕德
bunker  #6824  n. 沙坑；煤仓；燃料库 vt. 使陷入困境；把球击入沙坑 n. (Bunker)人名；(英、西)邦克
frustrated  #6825  adj. 失意的，挫败的；泄气的 v. 挫败；阻挠（frustrate的过去式和过去分词形式）
amusement  #6826  n. 消遣，娱乐；乐趣
anthropology  #6827  n. 人类学 人类学家
deepen  #6828  vt. 使加深；使强烈；使低沉 vi. 变深；变低沉
accepted  #6829  adj. 公认的；录取的；可接受的；已承兑的 v. 接受（accept的过去式及过去分词）
animated  #6830  adj. 活生生的；活泼的；愉快的 vt. 使…有生气（animate的过去式）
landlord  #6831  n. 房东，老板；地主
curb  #6832  n. 抑制；路边；勒马绳 vt. 控制；勒住
bark  #6833  n. 树皮；深青棕色；毛皮；皮肤；狗叫 vt. 狗叫；尖叫；剥皮 n. (Bark)人名；(英、西、德、捷、法、芬、瑞典)巴克；(阿拉伯、俄)巴尔克
composite  #6834  n. 复合材料；合成物；菊科 adj. 复合的；合成的；菊科的 vt. 使合成；使混合
crouch  #6835  vi. 蹲伏，蜷伏；卑躬屈膝 vt. 低头；屈膝 n. 蹲伏 n. (Crouch)人名；(英)克劳奇
conquer  #6836  vt. 战胜，征服；攻克，攻取 vi. 胜利；得胜
enduring  #6837  adj. 持久的；能忍受的 v. 忍耐（endure的ing形式）
implicit  #6838  adj. 含蓄的；暗示的；盲从的
unlimited  #6839  adj. 无限制的；无限量的；无条件的
dictator  #6840  n. 独裁者；命令者
inhale  #6841  vt. 吸入；猛吃猛喝 vi. 吸气
interestingly  #6842  adv. 有趣地
genetically  #6843  adv. 从遗传学角度；从基因方面
forthcoming  #6844  adj. 即将来临的 n. 来临
environmentally  #6845  adv. 有关环境方面
width  #6846  n. 宽度；广度
healing  #6847  adj. 能治愈的 n. 康复 v. 治疗（heal的现在分词）
therapeutic  #6848  adj. 治疗的；治疗学的；有益于健康的 n. 治疗剂；治疗学家
fetch  #6849  vt. 取来；接来；到达；吸引 vi. 拿；取物；卖得 n. 取得；诡计
greed  #6850  n. 贪婪，贪心
circular  #6851  adj. 循环的；圆形的 n. 通知，传单
siren  #6852  n. 汽笛；迷人的女人；歌声动人的女歌手 adj. 迷人的 vi. 响着警报器行驶 vt. 引诱
weary  #6853  adj. 疲倦的；厌烦的；令人厌烦的 vi. 疲倦；厌烦 vt. 使疲倦；使厌烦
vacant  #6854  adj. 空虚的；空的；空缺的；空闲的；茫然的 n. (Vacant)人名；(法)瓦康
complement  #6855  n. 补语；余角；补足物 vt. 补足，补助
deaf  #6856  adj. 聋的
duck  #6857  n. 鸭子；鸭肉；（英）宝贝儿；零分 vi. 闪避；没入水中 vt. 躲避；猛按…入水 n. (Duck)人名；(德、葡、匈)杜克
incoming  #6858  adj. 进来的，到来的； 即将就任的 n. 进入；到来；常作 incomings 收入，收益
welcome  #6859  adj. 受欢迎的 n. 欢迎 vt. 欢迎 int. 欢迎 n. (Welcome)人名；(英)韦尔科姆
fastest  #6860  adj. 最快速的（fast 的最高级）
tiger  #6861  n. 老虎；凶暴的人 n. (Tiger)人名；(英)泰格；(法)蒂热；(瑞典)蒂格
referendum  #6862  n. 公民投票权；外交官请示书
allocate  #6863  vt. 分配；拨出；使坐落于 vi. 分配；指定
millionaire  #6864  n. 百万富翁；大富豪 adj. 100万以上人口的
hillside  #6865  n. 山坡，山腹；山腰
four-year  #6866  四年的 四年制的
paradox  #6867  n. 悖论，反论；似是而非的论点；自相矛盾的人或事 n. （Paradox）《杀破狼：贪狼》（一部剧情动作电影）
lush  #6868  adj. 丰富的，豪华的；苍翠繁茂的 vi. 喝酒 n. 酒；酒鬼 vt. 饮 n. (Lush)人名；(英)勒什
resident  #6869  adj. 居住的；定居的 n. 居民；住院医生
hurry  #6870  n. 匆忙，急忙 v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理 n. （英）赫里（人名）
charitable  #6871  adj. 慈善事业的；慷慨的，仁慈的；宽恕的
forward  #6872  adj. 向前的；早的；迅速的 adv. 向前地；向将来 vt. 促进；转寄；运送 n. 前锋 n. (Forward)人名；(英)福沃德
mourn  #6873  v. 哀悼；忧伤；服丧
arguably  #6874  adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地 [广义用法]可能，大概
scarce  #6875  adj. 缺乏的，不足的；稀有的 adv. 仅仅；几乎不；几乎没有
siege  #6876  n. 围攻；包围；围城；不断袭击；长期努力 vt. 围攻；包围
probable  #6877  adj. 很可能的；可信的 n. 很可能的事；大有希望的候选者
pervasive  #6878  adj. 普遍的；到处渗透的；流行的
prevailing  #6879  adj. 流行的；一般的，最普通的；占优势的；盛行很广的 v. 盛行，流行（prevail的现在分词形式）；获胜
barbecue  #6880  n. 烤肉；吃烤肉的野宴 vt. 烧烤；烤肉
territorial  #6881  adj. 领土的；区域的；土地的；地方的 n. 地方自卫队士兵
strangely  #6882  adv. 奇怪地；奇妙地；不可思议地
definite  #6883  adj. 一定的；确切的
translator  #6884  n. 译者；翻译器
strategist  #6885  n. 战略家；军事家
marsh  #6886  n. 沼泽；湿地 adj. 沼泽的；生长在沼泽地的 n. (Marsh)人名；(俄)马尔什；(英、瑞典)马什
disruption  #6887  n. 破坏，毁坏；分裂，瓦解
preside  #6888  vi. 主持，担任会议主席 vt. 管理
gradual  #6889  adj. 逐渐的；平缓的 n. 弥撒升阶圣歌集
nowadays  #6890  adv. 现今；时下 n. 当今
displace  #6891  vt. 取代；置换；转移；把…免职；排水
discriminate  #6892  vt. 歧视；区别；辨别 vi. 区别；辨别
trademark  #6893  n. 商标 标志
solitary  #6894  adj. 孤独的；独居的 n. 独居者；隐士
catalogue  #6895  n. 目录；（美）大学情况一览 vt. 把…编入目录
documentation  #6896  n. 文件, 证明文件, 史实, 文件编制
stall  #6897  n. 货摊；畜栏；托辞 vi. 停止，停转；拖延 vt. 拖延；使停转；使陷于泥中 n. (Stall)人名；(瑞典)斯塔尔
homosexual  #6898  n. 同性恋者 adj. 同性恋的
multicultural  #6899  adj. 多种文化的；融合或具有多种文化的
casually  #6900  adv. 随便地；偶然地；临时地
polar  #6901  adj. 极地的；两极的；正好相反的 n. 极面；极线 n. (Polar)人名；(德、西)波拉尔
bass  #6902  n. 鲈鱼；男低音；低音部；椴树 adj. 低音的 n. (Bass)人名；(英、法、德、俄、罗、捷、马里、匈)巴斯
puppy  #6903  n. 小狗，幼犬
prohibition  #6904  n. 禁止；禁令；禁酒；诉讼中止令
coconut  #6905  n. 椰子；椰子肉
median  #6906  n. n. 中值，中位数；三角形中线；梯形中位线 adj. 中值的；中央的 n. (Median)人名；(阿拉伯)迈迪安；(罗)梅迪安
remainder  #6907  n. [数] 余数，残余；剩余物；其余的人 adj. 剩余的；吃剩的 vt. 廉价出售；削价出售 vi. 廉价出售；削价出售
neglect  #6908  vt. 疏忽，忽视；忽略 n. 疏忽，忽视；怠慢
badge  #6909  n. 徽章；证章；标记 vt. 授给…徽章
navy  #6910  n. 海军 深蓝色的
pending  #6911  adj. 未决定的；行将发生的 prep. 在…期间；直到…时为止；在等待…之际 v. 待定；悬而不决（pend的ing形式） n. (Pending)人名；(瑞典)彭丁
dislike  #6912  vt. 不喜欢，厌恶 n. 嫌恶，反感，不喜爱
angler  #6913  n. 钓鱼；琵琶鱼；钓鱼者；用不正当手段谋取好处的人 n. (Angler)人名；(德、意)昂勒尔
void  #6914  adj. 空的；无效的；无人的 n. 空虚；空间；空隙 vt. 使无效；排放 n. (Void)人名；(俄)沃伊德
slump  #6915  vi. 下降，衰落；倒下；大幅度下降，暴跌 vt. 使降低；使衰落；使倒下 n. 衰退；暴跌；消沉
seafood  #6916  n. 海鲜；海味；海产食品
hum  #6917  vi. 发低哼声 vt. 用哼声表示 n. 嗡嗡声；哼声；杂声 int. 哼；嗯 n. (Hum)人名；(匈、塞、英)胡姆；(东南亚国家华语)湛
theologian  #6918  n. 神学者；空头理论家
dating  #6919  n. 约会；记日期的；注明日期 v. 约会；定日期（date的ing形式）
inaudible  #6920  adj. 听不见的；不可闻的
curse  #6921  n. 诅咒；咒骂 vt. 诅咒；咒骂 vi. 诅咒；咒骂
synthetic  #6922  adj. 综合的；合成的，人造的 n. 合成物
paradise  #6923  n. 天堂 至福境地
granite  #6924  n. 花岗岩；坚毅；冷酷无情
battered  #6925  adj. 破旧的；磨损的；弄垮的；受到虐待的 v. 连续猛击；磨损（batter的过去分词）
syrup  #6926  n. 糖浆，果汁；含药糖浆
buying  #6927  n. 买进 v. 购买；获得；收买（buy的ing形式）
mimic  #6928  vt. 模仿，摹拟 n. 效颦者，模仿者；仿制品；小丑 adj. 模仿的，模拟的；假装的
restrain  #6929  vt. 抑制，控制；约束；制止
Broadway  #6930  n. 百老汇（美国纽约市戏院集中的一条大街）
premiere  #6931  adj. 首位的；初次的；女主角的 vi. 初次公演；首次露面 vt. 初次公演；初次上演 n. 初次的演出；女主角
desktop  #6932  n. 桌面；台式机
erode  #6933  vt. 腐蚀，侵蚀 vi. 侵蚀；受腐蚀
beverage  #6934  n. 饮料
pest  #6935  n. 害虫；有害之物；讨厌的人 n. (Pest)人名；(德、捷)佩斯特
qualification  #6936  n. 资格；条件；限制；赋予资格
viewing  #6937  adj. 可见的 v. 观察；查看（view的ing形式）
interim  #6938  adj. 临时的，暂时的；中间的；间歇的 n. 过渡时期，中间时期；暂定
wholly  #6939  adv. 完全地；全部；统统
paperwork  #6940  n. 文书工作
oppression  #6941  n. 压抑；镇压；压迫手段；沉闷；苦恼
hybrid  #6942  n. 杂种，混血儿；混合物 adj. 混合的；杂种的
illegally  #6943  adv. 非法地
lodge  #6944  n. 旅馆；门房；集会处；山林小屋 vt. 提出；寄存；借住；嵌入 vi. 寄宿；临时住宿 n. (Lodge)人名；(英、西)洛奇
pierce  #6945  vt. 刺穿；洞察；响彻；深深地打动 vi. 进入；透入
ammunition  #6946  n. 弹药；军火 vt. 装弹药于 vi. 装弹药
indulge  #6947  vt. 满足；纵容；使高兴；使沉迷于… vi. 沉溺；满足；放任
commuter  #6948  n. 通勤者，经常乘公共车辆往返者；[交] 月季票乘客
suspected  #6949  adj. 有嫌疑的 v. 怀疑（suspect的过去分词和过去式）
steroids  #6950  n. [生化] 类固醇（steroid的复数形式）；甾体
flick  #6951  vt. 轻弹；忽然摇动；轻轻拂去 vi. 轻弹；忽然摇动；轻轻拂去 n. 弹开；快速的轻打；轻打声 n. (Flick)人名；(德、法、英、意、葡)弗利克
answering  #6952  n. [通信] 应答；回应 v. 回答；回击；起反应（answer的ing形式） adj. 应答的；回应的
prairie  #6953  n. 大草原；牧场
atmospheric  #6954  adj. 大气的，大气层的
pear  #6955  n. [园艺] 梨树；梨子 n. (Pear)人名；(英)皮尔
serial  #6956  adj. 连续的；连载的；分期偿还的 n. 电视连续剧；[图情] 期刊；连载小说
investigative  #6957  adj. 研究的；调查的；好调查的
panic  #6958  n. 恐慌，惊慌；大恐慌 adj. 恐慌的；没有理由的 vt. 使恐慌 vi. 十分惊慌 n. (Panic)人名；(罗)帕尼克
reflective  #6959  adj. 反射的；反映的；沉思的
boomer  #6960  n. 生育高峰中出生的人；赶往新兴地区安家的人；发出隆隆声者；发育完全的雄袋鼠 n. (Boomer)人名；(英)布默
finished  #6961  adj. 完结的，完成的；精巧的 v. 完成；结束；毁掉（finish的过去分词形式）
landfill  #6962  n. 垃圾填埋地；垃圾堆
fund-raiser  #6963  n. 募捐者
surpass  #6964  vt. 超越；胜过，优于；非…所能办到或理解
day-to-day  #6965  adj. 日常的；逐日的
infinite  #6966  adj. 无限的，无穷的；无数的；极大的 n. 无限；[数] 无穷大；无限的东西（如空间，时间）
commute  #6967  vi. （搭乘车、船等）通勤；代偿 vt. 减刑；交换；用……交换；使……变成 n. 通勤（口语）
gossip  #6968  n. 小道传闻；随笔；爱说长道短的人 vi. 闲聊；传播流言蜚语
muscular  #6969  adj. 肌肉的；肌肉发达的；强健的
contradict  #6970  vt. 反驳；否定；与…矛盾；与…抵触 vi. 反驳；否认；发生矛盾
discrepancy  #6971  n. 不符；矛盾；相差
bilateral  #6972  adj. 双边的；有两边的
intermediate  #6973  vi. 起媒介作用 adj. 中间的，中级的 n. [化学] 中间物；媒介
temporal  #6974  adj. 暂时的；当时的；现世的 n. 世间万物；暂存的事物 n. (Temporal)人名；(法)唐波拉尔
lunar  #6975  adj. 月亮的，月球的；阴历的；银的；微亮的 n. (Lunar)人名；(西)卢纳尔
sincere  #6976  adj. 真诚的；诚挚的；真实的
pluck  #6977  n. 勇气；内脏；快而猛的拉 vt. 摘；拔；扯 vi. 拉；拽；扯
dice  #6978  n. 骰子；掷骰子类游戏；小方块，丁 vt. 把……切成方块 vi. 掷骰子 n. (Dice)人名；(英)戴斯
demise  #6979  n. 死亡，终止；转让；传位 vt. 遗赠；禅让
patio  #6980  n. 露台；天井
premature  #6981  adj. 早产的；不成熟的；比预期早的 n. 早产儿；过早发生的事物
utter  #6982  vt. 发出，表达；发射 adj. 完全的；彻底的；无条件的 n. (Utter)人名；(德、芬)乌特
roommate  #6983  n. 室友
chant  #6984  n. 圣歌；赞美诗 vt. 唱；诵扬 vi. 唱歌；反复地唱歌 n. (Chant)人名；(英)钱特
tout  #6985  vt. 兜售；招徕；刺探赛马情报 vi. 兜售；招徕顾客；拉选票 n. 侦查者；兜售者 n. (Tout)人名；(英)陶特
sound  #6986  vt. 听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地 vi. 听起来；发出声音；回响；测深
overwhelmingly  #6987  adv. 压倒性地；不可抵抗地
crater  #6988  n. 火山口；弹坑 vt. 在…上形成坑；取消；毁坏 vi. 形成坑；消亡
enrich  #6989  vt. 使充实；使肥沃；使富足 n. (Enrich)人名；(西)恩里奇
exploitation  #6990  n. 开发，开采；利用；广告推销；剥削
submarine  #6991  n. 潜水艇；海底生物 adj. 海底的；水下的 vt. 用潜水艇攻击 vi. 在下疾行；在下滑动
ditch  #6992  vt. 在…上掘沟；把…开入沟里；丢弃 vi. 开沟；掘沟 n. 沟渠；壕沟
clown  #6993  n. 小丑；乡下人；粗鲁笨拙的人 vi. 扮小丑；装傻
comfortably  #6994  adv. 舒服地；安乐地；充裕地
loaf  #6995  n. 条，一条面包；块；游荡 vt. 游荡；游手好闲；虚度光阴 vi. 游荡；游手好闲；虚度光阴
twilight  #6996  adj. 黎明，黄昏；薄暮；衰退期；朦胧状态 n. 黄昏；薄暮；衰退期；朦胧状态
secondly  #6997  adv. 其次；第二
sweep  #6998  vt. 扫除；猛拉；掸去 vi. 扫，打扫；席卷；扫视；袭击 n. 打扫，扫除；范围；全胜
wrestling  #6999  n. 摔跤；扭斗 v. 摔跤；格斗（wrestle的ing形式）；与…摔跤；使劲移动
dispose  #7000  vt. 处理；处置；安排 vi. 处理；安排；（能够）决定 n. 处置；性情
cushion  #7001  n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄 vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击
imaging  #7002  n. 成像 v. 想像（image的ing形式）；画…的像
princess  #7003  n. 公主；王妃；女巨头 n. (Princess)人名；(英)普琳西丝；
comprehend  #7004  vt. 理解；包含；由…组成
vaguely  #7005  adv. 含糊地；暧昧地；茫然地
one-time  #7006  adj. 以前的；古时的 adv. 一度（等于onetime）；从前
squirrel  #7007  n. 松鼠；松鼠毛皮 vt. 贮藏
adolescence  #7008  n. 青春期
e-mail  #7009  电子邮件 电子函件
fare  #7010  vi. 经营；进展；遭遇；过活 n. 票价；费用；旅客；食物 n. (Fare)人名；(瑞典)法勒；(法、意)法尔
unlock  #7011  vt. 开启；开…的锁；表露 vi. 解开；解除锁定；被开启
bleeding  #7012  n. 出血；渗色 adj. 流血的；同情的 v. 出血；渗出（bleed的ing形式）；感到疼痛
royalty  #7013  n. 皇室；版税；王权；专利税
stock  #7014  n. 股份，股票；库存；血统；树干；家畜 adj. 存货的，常备的；平凡的 vt. 进货；备有；装把手于… vi. 囤积；办货；出新芽 n. (Stock)人名；(德、匈、捷)施托克；(英、法、葡、瑞典)斯托克
salon  #7015  n. 沙龙；客厅；画廊；美术展览馆 n. (Salon)人名；(法、西、捷、瑞典)萨隆
gear  #7016  n. 齿轮；装置，工具；传动装置 vi. 适合；搭上齿轮；开始工作 vt. 开动；搭上齿轮；使……适合；使……准备好 adj. 好极了 n. (Gear)人名；(英)吉尔
destine  #7017  vt. 注定；命定；预定
descriptive  #7018  adj. 描写的，叙述的；描写性的
